Hilo,TiempoObtenerLogger(ns),TiempoEscritura50Mensajes(ns)
Thread 4,310300,61195300
Thread 1,628200,69450700
Thread 2,598400,36066900
Thread 3,433700,62522000
Thread 4,268100,75381700
Thread 1,541100,25224000
Thread 2,589500,42229600
Thread 3,517800,58294400
Thread 4,485700,73307100
Thread 1,636500,70226300
Thread 2,361200,61704900
Thread 3,693000,46345400
Thread 4,520300,73769800
Thread 1,442600,43192600
Thread 2,326700,117851100
Thread 3,542800,81615100
Thread 4,540400,101344900
Thread 1,1363900,27329600
Thread 2,1445500,46855100
Thread 3,1257200,81858000
Thread 4,509000,81246300
Thread 1,561000,56008700
Thread 2,546200,60205400
Thread 3,407100,49188600
Thread 4,285400,74516900
Thread 1,575900,26138900
Thread 2,466000,72146400
Thread 3,660200,73742700
Thread 4,357000,71076800
Thread 1,541100,70615900
Thread 2,567800,29906400
Thread 3,407300,60967400
Thread 4,254200,47836200
Thread 1,487300,24712700
Thread 2,511800,71250500
Thread 3,465400,48394700
Thread 4,403800,74982200
Thread 1,535700,45669000
Thread 2,636900,64031000
Thread 3,618300,78527700
Thread 4,613100,26579400
Thread 1,695500,25536100
Thread 2,736100,42671000
Thread 3,652500,75414000
Thread 4,628900,59425800
Thread 1,834300,27546400
Thread 2,767200,78036200
Thread 3,620200,47065900
Thread 4,504700,63407000
Thread 1,670300,66232700
Thread 2,685400,65156500
Thread 3,650500,55162600
Thread 4,465600,77249400
Thread 1,596900,24329900
Thread 2,547700,54376200
Thread 3,441600,70538400
Thread 4,284900,69028200
Thread 1,668500,75720600
Thread 2,584300,50249200
Thread 3,619700,28684600
Thread 4,474400,76674200
Thread 1,570300,25394800
Thread 2,432000,55863800
Thread 3,607300,40706600
Thread 4,258400,72672900
Thread 1,502500,71177200
Thread 2,347900,46135900
Thread 3,480200,58612800
Thread 4,272700,43059800
Thread 1,797300,74243300
Thread 2,626800,63583200
Thread 3,749200,74872700
Thread 4,405600,50526000
Thread 1,515200,57757700
Thread 2,535000,26647900
Thread 3,288800,68880200
Thread 4,440600,42177300
Thread 1,689700,63308100
Thread 2,506500,70864000
Thread 3,688600,53314100
Thread 4,335500,42775900
Thread 1,437100,71744600
Thread 2,762900,24676400
Thread 3,510500,69684800
Thread 4,792600,40388900
Thread 1,657100,24226800
Thread 2,643300,74271500
Thread 3,457800,61864200
Thread 4,281900,58071100
Thread 1,581600,73301200
Thread 2,587900,43010800
Thread 3,434000,58733000
Thread 4,273600,26554600
Thread 1,492500,76592800
Thread 2,524800,57722000
Thread 3,446500,66610600
Thread 4,346200,37707300
Thread 1,603300,25487300
Thread 2,638200,60529600
Thread 3,677300,42476400
Thread 4,545600,74238000
Thread 1,557600,26216100
Thread 2,265900,74166200
Thread 3,396200,72687200
Thread 4,564600,41366200
Thread 1,578100,26145600
Thread 2,568300,77569100
Thread 3,514300,63774500
Thread 4,500300,43631600
Thread 1,628400,64956600
Thread 2,460800,73080400
Thread 3,715500,30456800
Thread 4,581900,47133500
Thread 1,540600,70511500
Thread 2,532100,30034700
Thread 3,503200,79702500
Thread 4,460800,79384100
Thread 1,526900,72562700
Thread 2,608000,77436500
Thread 3,373100,70619300
Thread 4,621800,37587300
Thread 1,657800,72498300
Thread 2,665200,40935600
Thread 3,530500,70773400
Thread 4,463900,58597700
Thread 1,616900,72708000
Thread 2,635300,54646500
Thread 3,481000,64111100
Thread 4,362500,42802200
Thread 1,300,68067600
Thread 2,750100,85665700
Thread 3,600,56984800
Thread 4,900,72627200
Thread 1,641400,24382200
Thread 2,688600,39131400
Thread 3,582000,59513500
Thread 4,542700,69981000
Thread 1,611700,62529300
Thread 2,632000,64780500
Thread 3,467700,34496100
Thread 4,328900,72556200
Thread 1,650000,28560300
Thread 2,667200,44384000
Thread 3,458400,61366700
Thread 4,284700,76580900
Thread 1,649400,73578300
Thread 2,384900,25768000
Thread 3,240500,66391300
Thread 4,644200,42585900
Thread 1,727400,26998500
Thread 2,371900,104484600
Thread 3,631000,94378900
Thread 4,483100,84074700
Thread 1,704200,28783200
Thread 2,322000,80693700
Thread 3,499800,70574600
Thread 4,672700,61074300
